"FedEx 운임표  |  고객: DONGMYUNG BEARING CO., LTD.  |  제안번호: 16054908  |  유효: 2026-03-24  |  통화: KRW",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
▶ 1. FedEx International Priority Import (IP)  |  단위: KRW/건,,,,,,,,,,,,,,,,,,,,,,
중량(Kg),구분,지역 A,지역 D,지역 E,지역 F,지역 G,지역 H,지역 I,지역 J,지역 K,지역 M,지역 N,,,,,,,,,,
12.0,패키지,"166,050","173,650","171,640","169,100","107,700","309,360","358,750","354,560","76,910","89,830","141,490",,,,,,,,,,
15.0,패키지,"183,150","198,850","193,960","191,100","119,790","349,260","408,850","398,090","84,840","99,910","155,050",,,,,,,,,,
18.0,패키지,"200,250","224,050","216,280","213,100","131,880","389,160","458,950","441,610","92,760","110,000","168,620",,,,,,,,,,
20.0,패키지,"211,650","240,850","231,160","227,760","139,940","415,760","492,350","470,630","98,040","116,720","177,660",,,,,,,,,,
20.5,패키지,"214,500","245,050","234,880","231,430","141,960","422,410","500,700","477,880","99,360","118,400","179,920",,,,,,,,,,
  ▸ kg당 운임,,,,,,,,,,,,,,,,,,,,,,
21~44,kg당,"5,550","12,600","11,320","11,740","7,070","21,210","24,450","23,870","5,710","6,610","10,720",,,,,,,,,,
45~70,kg당,"5,350","11,600","9,040","10,150","7,130","19,410","22,400","21,860","5,590","6,660","9,430",,,,,,,,,,
71~99,kg당,"5,240","11,200","8,230","9,000","6,560","15,560","21,400","20,470","5,230","6,200","9,390",,,,,,,,,,
100~299,kg당,"4,720","10,340","8,050","8,540","6,510","15,440","20,450","20,120","4,520","6,190","8,860",,,,,,,,,,
300~499,kg당,"4,430","9,900","7,950","8,330","6,390","15,090","20,150","19,880","4,430","6,090","8,400",,,,,,,,,,
500~999,kg당,"4,390","9,850","7,950","8,020","6,040","15,090","20,150","19,880","4,040","5,750","7,910",,,,,,,,,,
1000~9999,kg당,"4,380","9,850","7,950","8,020","5,750","15,090","20,150","19,880","4,010","5,750","7,910",,,,,,,,,,
10000~99999,kg당,"15,800","20,100","22,700","23,600","23,000","38,200","40,300","42,300","15,800","23,000","19,300",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
▶ 3. FedEx International Priority Freight (IPF)  |  단위: KRW/kg,,,,,,,,,,,,,,,,,,,,,,
중량(Kg),지역 A,지역 D,지역 E,지역 F,지역 G,지역 H,지역 I,지역 J,지역 K,지역 M,지역 N,지역 O,지역 P,지역 Q,지역 R,지역 S,지역 T,지역 U,지역 V,지역 W,지역 X,지역 Y
  ▸ ATA (Airport to Airport),,,,,,,,,,,,,,,,,,,,,,
68~99,"5,570","13,520","13,250","14,220","9,070","20,240","24,750","25,170","5,560","9,070","9,960","2,760","7,420","4,400","5,950","5,470","7,490","12,320","7,110","6,250","4,160","4,120"
100~299,"5,090","12,500","13,070","13,010","9,000","19,400","23,500","23,670","4,870","9,000","9,410","2,680","7,200","4,340","5,430","5,170","6,850","11,560","6,730","5,940","3,810","4,090"
300~499,"4,820","11,710","12,880","12,780","8,490","18,740","22,950","22,020","4,820","8,490","9,160","2,630","6,650","4,240","5,040","5,260","6,970","11,360","6,480","5,530","3,790","4,140"
500~999,"4,660","11,270","12,010","12,200","8,200","18,040","21,700","21,430","4,290","8,200","8,490","2,530","6,410","4,040","4,800","4,800","6,620","10,840","6,250","5,010","3,740","4,090"
1000~9999,"4,690","11,270","11,960","12,200","7,970","18,040","21,600","21,210","4,280","7,970","8,410","2,530","6,340","3,930","4,750","4,750","6,560","10,840","6,080","4,970","3,770","4,110"
10000~99999,"16,900","23,000","26,000","27,100","27,000","41,000","43,200","48,200","16,900","27,000","20,500","23,000","18,100","20,500","20,500","20,500","20,500","27,100","16,900","20,500","16,900","16,900"
  ▸ ATD/DTA (Airport↔Door),,,,,,,,,,,,,,,,,,,,,,
68~99,"5,750","13,870","13,620","14,490","9,410","20,810","25,450","25,960","5,740","9,410","10,210","2,830","7,560","4,500","6,100","5,600","7,670","12,560","7,330","6,410","4,300","4,250"
100~299,"5,270","12,840","13,400","13,500","9,340","19,840","24,050","24,290","5,040","9,340","9,790","2,750","7,450","4,510","5,650","5,380","7,130","12,000","6,950","6,170","3,940","4,230"
300~499,"4,930","12,050","13,250","13,100","8,700","19,270","23,550","22,530","4,930","8,700","9,280","2,710","6,830","4,300","5,110","5,330","7,060","11,640","6,620","5,600","3,870","4,230"
500~999,"4,800","11,560","12,330","12,510","8,350","18,480","22,200","21,820","4,420","8,350","8,730","2,600","6,620","4,160","4,940","4,940","6,810","11,120","6,440","5,160","3,850","4,210"
1000~9999,"4,740","11,520","12,190","12,470","8,140","18,440","22,150","21,820","4,330","8,140","8,570","2,590","6,440","4,010","4,840","4,840","6,680","11,080","6,160","5,070","3,820","4,150"
10000~99999,"17,100","23,500","26,500","27,700","27,600","41,900","44,300","49,600","17,100","27,600","20,900","23,500","18,400","20,900","20,900","20,900","20,900","27,700","17,100","20,900","17,100","17,100"
  ▸ DTD (Door to Door),,,,,,,,,,,,,,,,,,,,,,
68~99,"5,870","14,060","13,890","14,850","9,500","21,120","25,550","26,270","5,860","9,500","10,500","2,870","7,740","4,630","6,270","5,760","7,890","12,870","7,490","6,590","4,390","4,340"
100~299,"5,320","13,130","13,680","13,730","9,490","20,200","24,600","24,770","5,090","9,490","9,950","2,810","7,520","4,590","5,740","5,470","7,250","12,200","7,030","6,280","3,990","4,270"
300~499,"4,980","12,150","13,300","13,370","8,850","19,540","23,800","22,920","4,980","8,850","9,320","2,730","6,900","4,320","5,130","5,360","7,090","11,880","6,700","5,630","3,920","4,280"
500~999,"4,910","11,710","12,470","12,740","8,530","18,790","22,650","22,130","4,520","8,530","8,820","2,630","6,690","4,200","4,990","4,990","6,870","11,320","6,590","5,210","3,940","4,300"
1000~9999,"4,910","11,710","12,420","12,740","8,350","18,790","22,600","22,130","4,490","8,350","8,770","2,630","6,620","4,110","4,960","4,960","6,840","11,320","6,370","5,190","3,950","4,300"
10000~99999,"17,700","23,900","27,000","28,300","28,300","42,700","45,200","50,300","17,700","28,300","21,400","23,900","18,900","21,400","21,400","21,400","21,400","28,300","17,700","21,400","17,700","17,700"
,,,,,,,,,,,,,,,,,,,,,,
▶ 4. FedEx International Economy Freight (IEF)  |  단위: KRW/kg,,,,,,,,,,,,,,,,,,,,,,
중량(Kg),지역 A,지역 D,지역 E,지역 F,지역 G,지역 H,지역 I,지역 J,지역 K,지역 M,지역 N,지역 O,지역 P,지역 Q,지역 R,지역 S,지역 T,지역 U,지역 V,지역 W,지역 X,지역 Y
  ▸ ATA (Airport to Airport),,,,,,,,,,,,,,,,,,,,,,
68~99,"4,980","10,900","7,650","8,360","6,500","15,010","20,350","19,730","4,960","6,180","8,940","2,510","6,720","3,940","5,340","4,900","6,720","10,330","6,350","5,610","3,720","3,680"
100~299,"4,550","9,900","7,510","7,990","6,440","14,770","19,600","19,360","4,350","6,130","8,480","2,420","6,480","3,910","4,900","4,660","6,180","9,870","6,000","5,350","3,400","3,650"
300~499,"4,290","9,460","7,450","7,790","6,430","14,500","19,400","19,080","4,290","6,120","8,110","2,410","5,920","3,760","4,460","4,660","6,170","9,620","5,770","4,890","3,380","3,690"
500~999,"4,200","9,360","7,340","7,650","6,420","14,380","19,300","18,940","3,860","6,070","7,540","2,390","5,710","3,590","4,270","4,270","5,880","9,450","5,620","4,460","3,370","3,680"
1000~9999,"4,190","9,310","7,340","7,580","6,400","14,380","19,300","18,940","3,830","6,030","7,500","2,380","5,600","3,510","4,240","4,240","5,850","9,140","5,440","4,440","3,370","3,670"
10000~99999,"15,100","19,000","21,600","22,300","21,900","36,400","38,600","40,300","15,100","21,900","18,300","19,000","16,000","18,300","18,300","18,300","18,300","22,300","15,100","18,300","15,100","15,100"
  ▸ ATD/DTA (Airport↔Door),,,,,,,,,,,,,,,,,,,,,,
68~99,"5,160","11,100","7,820","8,530","6,630","15,370","21,250","20,190","5,140","6,310","9,100","2,550","6,830","4,020","5,440","4,990","6,840","10,540","6,570","5,710","3,850","3,810"
100~299,"4,630","10,240","7,680","8,090","6,640","15,210","20,000","19,880","4,430","6,310","8,690","2,510","6,620","4,010","5,020","4,780","6,330","10,000","6,120","5,490","3,470","3,720"
300~499,"4,380","9,750","7,580","7,960","6,580","14,770","19,800","19,550","4,380","6,250","8,320","2,490","6,130","3,860","4,580","4,780","6,330","9,830","5,880","5,020","3,440","3,760"
500~999,"4,310","9,600","7,550","7,890","6,570","14,770","19,700","19,460","3,960","6,200","7,830","2,450","5,850","3,730","4,430","4,430","6,110","9,740","5,770","4,630","3,450","3,770"
1000~9999,"4,240","9,600","7,510","7,820","6,550","14,730","19,700","19,460","3,880","6,170","7,670","2,450","5,780","3,590","4,330","4,330","5,980","9,430","5,510","4,530","3,410","3,720"
10000~99999,"15,300","19,600","22,100","23,000","22,400","37,300","39,400","41,400","15,300","22,400","18,700","19,600","16,500","18,700","18,700","18,700","18,700","23,000","15,300","18,700","15,300","15,300"
  ▸ DTD (Door to Door),,,,,,,,,,,,,,,,,,,,,,
68~99,"5,240","11,200","7,990","8,740","6,760","15,560","21,400","20,470","5,230","6,430","9,390","2,580","6,900","4,140","5,610","5,150","7,060","10,790","6,690","5,890","3,920","3,880"
100~299,"4,720","10,340","7,820","8,300","6,750","15,440","20,450","20,120","4,520","6,420","8,860","2,530","6,700","4,080","5,110","4,870","6,450","10,250","6,230","5,590","3,530","3,790"
